Year,Geography,Code,Name,66 + years (%)
2008,wijken,MD,Transvaalbuurt,5.8
2008,wijken,ME,Dapperbuurt,8.6
2008,wijken,MF,Indische Buurt-West,6.3
2008,wijken,MG,Indische Buurt-Oost,9.5
2008,wijken,MH,Zeeburgereiland/Bovendiep,2.2
2008,wijken,MJ,IJburg-West,2.4
2008,wijken,MK,IJburg-Oost,
2008,wijken,ML,IJburg-Zuid,6.2
2008,wijken,MM,Frankendael,16.1
2008,wijken,MN,Middenmeer,10.9
2008,wijken,MP,Betondorp,27.1
2008,wijken,MQ,Omval/Overamstel,2.8
2008,wijken,NB,Noordelijke IJ-oevers-West,2.6
2008,wijken,NC,Tuindorp Oostzaan,19.2
2008,wijken,ND,Kadoelen,13.9
2008,wijken,NE,Banne Buiksloot,14
2008,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,9.2
2008,wijken,NG,Elzenhagen,12.1
2008,wijken,NH,Buikslotermeer,23.4
2008,wijken,NJ,Waterlandpleinbuurt,11.9
2008,wijken,NK,Volewijck,11.6
2008,wijken,NL,IJplein/Vogelbuurt,8.2
2008,wijken,NM,Tuindorp Buiksloot,19
2008,wijken,NN,Tuindorp Nieuwendam,22.7
2008,wijken,NP,Noordelijke IJ-oevers-Oost,12.7
2008,wijken,NQ,Waterland,14.1
2008,wijken,SA,Driemond,14.7
2008,wijken,TA,Amstel III/Bullewijk,6.2
2008,wijken,TB,Venserpolder,7.8
2008,wijken,TC,Amsterdamse Poort e.o.,3.2
2008,wijken,TD,H-buurt,3.2
2008,wijken,TE,Ganzenhoef e.o.,2.4
2008,wijken,TF,Geerdinkhof/Kantershof,19.3
2008,wijken,TG,Bijlmermuseum,4.5
2008,wijken,TH,K-buurt,11.5
2008,wijken,TJ,Holendrecht,11.1
2008,wijken,TK,Nellestein,18
2008,wijken,TL,Reigersbos,9.6
2008,wijken,TM,Gein,6.6
2009,wijken,AA,Haarlemmerbuurt,7.1
2009,wijken,AB,Jordaan,9.6
2009,wijken,AC,Grachtengordel-West,8.5
2009,wijken,AD,Burgwallen-Nieuwe Zijde,4.2
2009,wijken,AE,Burgwallen-Oude Zijde,5.4
2009,wijken,AF,Nieuwmarkt/Lastage,9
2009,wijken,AG,Grachtengordel-Zuid,9.9
2009,wijken,AH,De Weteringschans,7.3
2009,wijken,AJ,Weesperbuurt/Plantage,14.4
2009,wijken,AK,Oostelijke Eilanden/Kadijken,6.2
2009,wijken,EA,Sloterdijk-West,6.5
2009,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,8.6
2009,wijken,EC,Houthavens,2.1
2009,wijken,ED,De Kolenkit,7.2
2009,wijken,EE,Landlust,6.6
2009,wijken,EF,Erasmuspark,6.5
2009,wijken,EG,Centrale Markt,6.3
2009,wijken,EH,Staatsliedenbuurt,5.9
2009,wijken,EJ,Frederik Hendrikbuurt,8.2
2009,wijken,EK,Van Galenbuurt,7.5
2009,wijken,EL,Geuzenbuurt,7.1
2009,wijken,EM,Hoofdweg e.o.,7.9
2009,wijken,EN,Chassébuurt,6.7
2009,wijken,EP,Bellamybuurt,6.4
2009,wijken,EQ,Da Costabuurt,8
2009,wijken,ER,Westindische Buurt,7.4
2009,wijken,ES,Van Lennepbuurt,8.9
2009,wijken,ET,Overtoomse Sluis,5.7
2009,wijken,EU,Helmersbuurt,6.1
2009,wijken,EV,Vondelparkbuurt,13
2009,wijken,FA,Sloterdijk Nieuw-West,8.2
2009,wijken,FB,Geuzenveld,10.8
2009,wijken,FC,Slotermeer-West,11.6
2009,wijken,FD,Slotermeer-Noordoost,10.6
2009,wijken,FE,Slotermeer-Zuidoost,15.2
2009,wijken,FF,Lutkemeer/Ookmeer,8.8
2009,wijken,FG,De Aker,7.7
2009,wijken,FH,De Punt,17.1
2009,wijken,FJ,Osdorp-Midden,13.3
2009,wijken,FK,Osdorp-Oost,23.3
2009,wijken,FL,Slotervaart-Noord,15.5
2009,wijken,FM,Overtoomse Veld,9.4
2009,wijken,FN,Slotervaart-Zuid,18.5
2009,wijken,FP,Westlandgracht,10.2
2009,wijken,FQ,Sloten/Nieuw-Sloten,9.2
2009,wijken,KA,Hoofddorppleinbuurt,8.5
2009,wijken,KB,Schinkelbuurt,9.6
2009,wijken,KC,Willemspark,8.9
