Year,Geography,Code,Name,Mean disposable household income
2009,wijken,EF,Erasmuspark,27100
2009,wijken,EG,Centrale Markt,33300
2009,wijken,EH,Staatsliedenbuurt,26900
2009,wijken,EJ,Frederik Hendrikbuurt,26900
2009,wijken,EK,Van Galenbuurt,23500
2009,wijken,EL,Geuzenbuurt,28900
2009,wijken,EM,Hoofdweg e.o.,26000
2009,wijken,EN,Chassébuurt,28100
2009,wijken,EP,Bellamybuurt,25700
2009,wijken,EQ,Da Costabuurt,30600
2009,wijken,ER,Westindische Buurt,30100
2009,wijken,ES,Van Lennepbuurt,24900
2009,wijken,ET,Overtoomse Sluis,30000
2009,wijken,EU,Helmersbuurt,33400
2009,wijken,EV,Vondelparkbuurt,58200
2009,wijken,FA,Sloterdijk Nieuw-West,
2009,wijken,FB,Geuzenveld,
2009,wijken,FC,Slotermeer-West,
2009,wijken,FD,Slotermeer-Noordoost,26200
2009,wijken,FE,Slotermeer-Zuidoost,
2009,wijken,FF,Lutkemeer/Ookmeer,
2009,wijken,FG,De Aker,39100
2009,wijken,FH,De Punt,28000
2009,wijken,FJ,Osdorp-Midden,28500
2009,wijken,FK,Osdorp-Oost,27600
2009,wijken,FL,Slotervaart-Noord,31400
2009,wijken,FM,Overtoomse Veld,28800
2009,wijken,FN,Slotervaart-Zuid,27700
2009,wijken,FP,Westlandgracht,30800
2009,wijken,FQ,Sloten/Nieuw-Sloten,40900
2009,wijken,KA,Hoofddorppleinbuurt,32600
2009,wijken,KB,Schinkelbuurt,28200
2009,wijken,KC,Willemspark,53200
2009,wijken,KD,Museumkwartier,51200
2009,wijken,KE,Oude Pijp,29300
2009,wijken,KF,Nieuwe Pijp,27800
2009,wijken,KG,Zuid Pijp,25500
2009,wijken,KH,Stadionbuurt,27700
2009,wijken,KJ,Apollobuurt,58800
2009,wijken,KK,Scheldebuurt,37600
2009,wijken,KL,IJselbuurt,28800
2009,wijken,KM,Rijnbuurt,28300
2009,wijken,KN,Prinses Irenebuurt e.o.,54000
2009,wijken,KP,Zuidas,
2009,wijken,KQ,Buitenveldert-West,36400
2009,wijken,KR,Buitenveldert-Oost,34700
2009,wijken,MA,Oostelijk Havengebied,40400
2009,wijken,MB,Weesperzijde,35100
2009,wijken,MC,Oosterparkbuurt,27000
2009,wijken,MD,Transvaalbuurt,25400
2009,wijken,ME,Dapperbuurt,26000
2009,wijken,MF,Indische Buurt-West,23900
2009,wijken,MG,Indische Buurt-Oost,24800
2009,wijken,MH,Zeeburgereiland/Bovendiep,
2009,wijken,MJ,IJburg-West,44200
2009,wijken,MK,IJburg-Oost,
2009,wijken,ML,IJburg-Zuid,37500
2009,wijken,MM,Frankendael,28500
2009,wijken,MN,Middenmeer,41100
2009,wijken,MP,Betondorp,22600
2009,wijken,MQ,Omval/Overamstel,43000
2009,wijken,NB,Noordelijke IJ-oevers-West,
2009,wijken,NC,Tuindorp Oostzaan,26900
2009,wijken,ND,Kadoelen,34700
2009,wijken,NE,Banne Buiksloot,26900
2009,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,44400
2009,wijken,NG,Elzenhagen,44400
2009,wijken,NH,Buikslotermeer,26400
