Year,Geography,Code,Name,Area total (ha)
2019,wijken,EV,Vondelparkbuurt,22.12
2019,wijken,FA,Sloterdijk Nieuw-West,769.91
2019,wijken,FB,Geuzenveld,383
2019,wijken,FC,Slotermeer-West,91
2019,wijken,FD,Slotermeer-Noordoost,101.52
2019,wijken,FE,Slotermeer-Zuidoost,189
2019,wijken,FF,Lutkemeer/Ookmeer,568.74
2019,wijken,FG,De Aker,164.47
2019,wijken,FH,De Punt,59.97
2019,wijken,FJ,Osdorp-Midden,111.69
2019,wijken,FK,Osdorp-Oost,177.06
2019,wijken,FL,Slotervaart-Noord,155.37
2019,wijken,FM,Overtoomse Veld,154.39
2019,wijken,FN,Slotervaart-Zuid,130.53
2019,wijken,FP,Westlandgracht,149.62
2019,wijken,FQ,Sloten/Nieuw-Sloten,593.98
2019,wijken,KA,Hoofddorppleinbuurt,95.66
2019,wijken,KB,Schinkelbuurt,34.63
2019,wijken,KC,Willemspark,69.85
2019,wijken,KD,Museumkwartier,138.54
2019,wijken,KE,Oude Pijp,67.98
