Year,Geography,Code,Name,Population
2008,wijken,EK,Van Galenbuurt,5414
2008,wijken,EL,Geuzenbuurt,6304
2008,wijken,EM,Hoofdweg e.o.,10039
2008,wijken,EN,Chassébuurt,5657
2008,wijken,EP,Bellamybuurt,5028
2008,wijken,EQ,Da Costabuurt,4349
2008,wijken,ER,Westindische Buurt,6353
2008,wijken,ES,Van Lennepbuurt,6630
2008,wijken,ET,Overtoomse Sluis,7007
2008,wijken,EU,Helmersbuurt,6788
2008,wijken,EV,Vondelparkbuurt,1682
2008,wijken,FA,Sloterdijk Nieuw-West,74
2008,wijken,FB,Geuzenveld,16448
2008,wijken,FC,Slotermeer-West,9846
2008,wijken,FD,Slotermeer-Noordoost,9155
2008,wijken,FE,Slotermeer-Zuidoost,5861
2008,wijken,FF,Lutkemeer/Ookmeer,878
2008,wijken,FG,De Aker,14359
2008,wijken,FH,De Punt,4971
2008,wijken,FJ,Osdorp-Midden,11485
2008,wijken,FK,Osdorp-Oost,14141
2008,wijken,FL,Slotervaart-Noord,7591
2008,wijken,FM,Overtoomse Veld,9808
2008,wijken,FN,Slotervaart-Zuid,8895
2008,wijken,FP,Westlandgracht,4581
2008,wijken,FQ,Sloten/Nieuw-Sloten,13955
2008,wijken,KA,Hoofddorppleinbuurt,10663
2008,wijken,KB,Schinkelbuurt,3717
2008,wijken,KC,Willemspark,5220
2008,wijken,KD,Museumkwartier,12406
2008,wijken,KE,Oude Pijp,13712
2008,wijken,KF,Nieuwe Pijp,11295
2008,wijken,KG,Zuid Pijp,8137
2008,wijken,KH,Stadionbuurt,10099
2008,wijken,KJ,Apollobuurt,8070
2008,wijken,KK,Scheldebuurt,13300
2008,wijken,KL,IJselbuurt,5085
2008,wijken,KM,Rijnbuurt,8568
2008,wijken,KN,Prinses Irenebuurt e.o.,1153
2008,wijken,KP,Zuidas,96
2008,wijken,KQ,Buitenveldert-West,11822
2008,wijken,KR,Buitenveldert-Oost,7111
2008,wijken,MA,Oostelijk Havengebied,17662
2008,wijken,MB,Weesperzijde,4550
2008,wijken,MC,Oosterparkbuurt,10215
2008,wijken,MD,Transvaalbuurt,9329
2008,wijken,ME,Dapperbuurt,8111
2008,wijken,MF,Indische Buurt-West,11913
2008,wijken,MG,Indische Buurt-Oost,10368
2008,wijken,MH,Zeeburgereiland/Bovendiep,464
2008,wijken,MJ,IJburg-West,7781
2008,wijken,MK,IJburg-Oost,
2008,wijken,ML,IJburg-Zuid,485
2008,wijken,MM,Frankendael,9528
2008,wijken,MN,Middenmeer,12164
2008,wijken,MP,Betondorp,3032
2008,wijken,MQ,Omval/Overamstel,2115
2008,wijken,NB,Noordelijke IJ-oevers-West,609
2008,wijken,NC,Tuindorp Oostzaan,9893
2008,wijken,ND,Kadoelen,2890
2008,wijken,NE,Banne Buiksloot,13143
2008,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,1588
2008,wijken,NG,Elzenhagen,1093
2008,wijken,NH,Buikslotermeer,10480
2008,wijken,NJ,Waterlandpleinbuurt,13023
2008,wijken,NK,Volewijck,9583
2008,wijken,NL,IJplein/Vogelbuurt,8366
2008,wijken,NM,Tuindorp Buiksloot,1868
2008,wijken,NN,Tuindorp Nieuwendam,3444
2008,wijken,NP,Noordelijke IJ-oevers-Oost,126
2008,wijken,NQ,Waterland,2126
2008,wijken,SA,Driemond,1487
2008,wijken,TA,Amstel III/Bullewijk,97
2008,wijken,TB,Venserpolder,8095
2008,wijken,TC,Amsterdamse Poort e.o.,5316
2008,wijken,TD,H-buurt,7029
2008,wijken,TE,Ganzenhoef e.o.,6806
2008,wijken,TF,Geerdinkhof/Kantershof,4935
2008,wijken,TG,Bijlmermuseum,7601
2008,wijken,TH,K-buurt,4570
2008,wijken,TJ,Holendrecht,9806
2008,wijken,TK,Nellestein,2765
2008,wijken,TL,Reigersbos,8590
2008,wijken,TM,Gein,11825
2009,wijken,AA,Haarlemmerbuurt,7918
2009,wijken,AB,Jordaan,18660
2009,wijken,AC,Grachtengordel-West,6316
2009,wijken,AD,Burgwallen-Nieuwe Zijde,3754
2009,wijken,AE,Burgwallen-Oude Zijde,3783
2009,wijken,AF,Nieuwmarkt/Lastage,8783
2009,wijken,AG,Grachtengordel-Zuid,5056
2009,wijken,AH,De Weteringschans,6861
2009,wijken,AJ,Weesperbuurt/Plantage,7618
2009,wijken,AK,Oostelijke Eilanden/Kadijken,12554
2009,wijken,EA,Sloterdijk-West,184
2009,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,9917
2009,wijken,EC,Houthavens,1878
2009,wijken,ED,De Kolenkit,7219
2009,wijken,EE,Landlust,17514
2009,wijken,EF,Erasmuspark,5531
2009,wijken,EG,Centrale Markt,2614
2009,wijken,EH,Staatsliedenbuurt,11875
2009,wijken,EJ,Frederik Hendrikbuurt,7864
2009,wijken,EK,Van Galenbuurt,5460
2009,wijken,EL,Geuzenbuurt,6404
2009,wijken,EM,Hoofdweg e.o.,9988
2009,wijken,EN,Chassébuurt,5410
2009,wijken,EP,Bellamybuurt,5044
2009,wijken,EQ,Da Costabuurt,4350
2009,wijken,ER,Westindische Buurt,6374
2009,wijken,ES,Van Lennepbuurt,6709
2009,wijken,ET,Overtoomse Sluis,7058
2009,wijken,EU,Helmersbuurt,6903
2009,wijken,EV,Vondelparkbuurt,1696
2009,wijken,FA,Sloterdijk Nieuw-West,73
2009,wijken,FB,Geuzenveld,15578
2009,wijken,FC,Slotermeer-West,9935
2009,wijken,FD,Slotermeer-Noordoost,9243
2009,wijken,FE,Slotermeer-Zuidoost,5912
2009,wijken,FF,Lutkemeer/Ookmeer,883
2009,wijken,FG,De Aker,14320
2009,wijken,FH,De Punt,5080
2009,wijken,FJ,Osdorp-Midden,12136
2009,wijken,FK,Osdorp-Oost,14444
2009,wijken,FL,Slotervaart-Noord,7640
2009,wijken,FM,Overtoomse Veld,9890
2009,wijken,FN,Slotervaart-Zuid,9098
2009,wijken,FP,Westlandgracht,4879
2009,wijken,FQ,Sloten/Nieuw-Sloten,13934
2009,wijken,KA,Hoofddorppleinbuurt,10657
2009,wijken,KB,Schinkelbuurt,3686
2009,wijken,KC,Willemspark,5197
2009,wijken,KD,Museumkwartier,12387
2009,wijken,KE,Oude Pijp,13665
2009,wijken,KF,Nieuwe Pijp,11419
2009,wijken,KG,Zuid Pijp,8036
2009,wijken,KH,Stadionbuurt,11796
2009,wijken,KJ,Apollobuurt,8047
2009,wijken,KK,Scheldebuurt,13384
2009,wijken,KL,IJselbuurt,5051
2009,wijken,KM,Rijnbuurt,8505
2009,wijken,KN,Prinses Irenebuurt e.o.,1177
2009,wijken,KP,Zuidas,198
2009,wijken,KQ,Buitenveldert-West,11833
2009,wijken,KR,Buitenveldert-Oost,7115
2009,wijken,MA,Oostelijk Havengebied,17555
2009,wijken,MB,Weesperzijde,4606
2009,wijken,MC,Oosterparkbuurt,10215
2009,wijken,MD,Transvaalbuurt,9218
2009,wijken,ME,Dapperbuurt,7959
2009,wijken,MF,Indische Buurt-West,11642
2009,wijken,MG,Indische Buurt-Oost,10246
2009,wijken,MH,Zeeburgereiland/Bovendiep,458
2009,wijken,MJ,IJburg-West,10339
2009,wijken,MK,IJburg-Oost,
2009,wijken,ML,IJburg-Zuid,2442
2009,wijken,MM,Frankendael,9626
2009,wijken,MN,Middenmeer,13035
2009,wijken,MP,Betondorp,3076
2009,wijken,MQ,Omval/Overamstel,2028
2009,wijken,NB,Noordelijke IJ-oevers-West,610
2009,wijken,NC,Tuindorp Oostzaan,10336
2009,wijken,ND,Kadoelen,2892
2009,wijken,NE,Banne Buiksloot,12732
2009,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,1599
2009,wijken,NG,Elzenhagen,1158
2009,wijken,NH,Buikslotermeer,10371
2009,wijken,NJ,Waterlandpleinbuurt,12919
2009,wijken,NK,Volewijck,9479
2009,wijken,NL,IJplein/Vogelbuurt,8366
2009,wijken,NM,Tuindorp Buiksloot,1853
2009,wijken,NN,Tuindorp Nieuwendam,3419
2009,wijken,NP,Noordelijke IJ-oevers-Oost,122
2009,wijken,NQ,Waterland,2121
2009,wijken,SA,Driemond,1509
2009,wijken,TA,Amstel III/Bullewijk,153
2009,wijken,TB,Venserpolder,8105
2009,wijken,TC,Amsterdamse Poort e.o.,5489
2009,wijken,TD,H-buurt,7072
2009,wijken,TE,Ganzenhoef e.o.,6785
2009,wijken,TF,Geerdinkhof/Kantershof,5133
2009,wijken,TG,Bijlmermuseum,8365
2009,wijken,TH,K-buurt,4870
2009,wijken,TJ,Holendrecht,9783
2009,wijken,TK,Nellestein,2757
2009,wijken,TL,Reigersbos,8564
2009,wijken,TM,Gein,11905
2010,wijken,AA,Haarlemmerbuurt,8704
2010,wijken,AB,Jordaan,18927
2010,wijken,AC,Grachtengordel-West,6230
2010,wijken,AD,Burgwallen-Nieuwe Zijde,4146
2010,wijken,AE,Burgwallen-Oude Zijde,3900
2010,wijken,AF,Nieuwmarkt/Lastage,8808
2010,wijken,AG,Grachtengordel-Zuid,5125
2010,wijken,AH,De Weteringschans,6973
2010,wijken,AJ,Weesperbuurt/Plantage,7542
2010,wijken,AK,Oostelijke Eilanden/Kadijken,12355
2010,wijken,EA,Sloterdijk-West,186
2010,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,9968
2010,wijken,EC,Houthavens,1749
2010,wijken,ED,De Kolenkit,7313
2010,wijken,EE,Landlust,17966
2010,wijken,EF,Erasmuspark,5500
2010,wijken,EG,Centrale Markt,2585
2010,wijken,EH,Staatsliedenbuurt,11921
2010,wijken,EJ,Frederik Hendrikbuurt,7834
2010,wijken,EK,Van Galenbuurt,5502
2010,wijken,EL,Geuzenbuurt,6487
2010,wijken,EM,Hoofdweg e.o.,10026
2010,wijken,EN,Chassébuurt,5462
2010,wijken,EP,Bellamybuurt,5140
2010,wijken,EQ,Da Costabuurt,4395
2010,wijken,ER,Westindische Buurt,6393
2010,wijken,ES,Van Lennepbuurt,6775
2010,wijken,ET,Overtoomse Sluis,7243
2010,wijken,EU,Helmersbuurt,7120
2010,wijken,EV,Vondelparkbuurt,1730
2010,wijken,FA,Sloterdijk Nieuw-West,69
2010,wijken,FB,Geuzenveld,15157
2010,wijken,FC,Slotermeer-West,10057
2010,wijken,FD,Slotermeer-Noordoost,9177
2010,wijken,FE,Slotermeer-Zuidoost,6012
2010,wijken,FF,Lutkemeer/Ookmeer,880
2010,wijken,FG,De Aker,14341
2010,wijken,FH,De Punt,5113
2010,wijken,FJ,Osdorp-Midden,13442
2010,wijken,FK,Osdorp-Oost,15054
2010,wijken,FL,Slotervaart-Noord,7584
2010,wijken,FM,Overtoomse Veld,10475
2010,wijken,FN,Slotervaart-Zuid,8901
2010,wijken,FP,Westlandgracht,5154
2010,wijken,FQ,Sloten/Nieuw-Sloten,13839
2010,wijken,KA,Hoofddorppleinbuurt,10846
2010,wijken,KB,Schinkelbuurt,3727
2010,wijken,KC,Willemspark,5233
2010,wijken,KD,Museumkwartier,12560
2010,wijken,KE,Oude Pijp,13771
2010,wijken,KF,Nieuwe Pijp,11539
2010,wijken,KG,Zuid Pijp,7976
2010,wijken,KH,Stadionbuurt,12058
2010,wijken,KJ,Apollobuurt,8167
2010,wijken,KK,Scheldebuurt,13720
2010,wijken,KL,IJselbuurt,5041
2010,wijken,KM,Rijnbuurt,8635
2010,wijken,KN,Prinses Irenebuurt e.o.,1185
2010,wijken,KP,Zuidas,226
2010,wijken,KQ,Buitenveldert-West,12062
2010,wijken,KR,Buitenveldert-Oost,7062
2010,wijken,MA,Oostelijk Havengebied,17670
2010,wijken,MB,Weesperzijde,4648
2010,wijken,MC,Oosterparkbuurt,10253
2010,wijken,MD,Transvaalbuurt,9301
2010,wijken,ME,Dapperbuurt,7975
2010,wijken,MF,Indische Buurt-West,12061
2010,wijken,MG,Indische Buurt-Oost,10425
2010,wijken,MH,Zeeburgereiland/Bovendiep,468
2010,wijken,MJ,IJburg-West,11842
2010,wijken,MK,IJburg-Oost,
2010,wijken,ML,IJburg-Zuid,3660
2010,wijken,MM,Frankendael,9695
2010,wijken,MN,Middenmeer,13526
2010,wijken,MP,Betondorp,3074
2010,wijken,MQ,Omval/Overamstel,2017
2010,wijken,NB,Noordelijke IJ-oevers-West,651
2010,wijken,NC,Tuindorp Oostzaan,10373
2010,wijken,ND,Kadoelen,2907
