Year,Geography,Code,Name,13 - 17 years (%)
2007,wijken,NJ,Waterlandpleinbuurt,6.5
2007,wijken,NK,Volewijck,5.4
2007,wijken,NL,IJplein/Vogelbuurt,6.1
2007,wijken,NM,Tuindorp Buiksloot,5.4
2007,wijken,NN,Tuindorp Nieuwendam,4.8
2007,wijken,NP,Noordelijke IJ-oevers-Oost,3.7
2007,wijken,NQ,Waterland,6
2007,wijken,SA,Driemond,6.4
2007,wijken,TA,Amstel III/Bullewijk,0
2007,wijken,TB,Venserpolder,5.7
2007,wijken,TC,Amsterdamse Poort e.o.,7.3
2007,wijken,TD,H-buurt,6.8
2007,wijken,TE,Ganzenhoef e.o.,7.7
2007,wijken,TF,Geerdinkhof/Kantershof,4.2
2007,wijken,TG,Bijlmermuseum,7
2007,wijken,TH,K-buurt,7.1
2007,wijken,TJ,Holendrecht,8.8
2007,wijken,TK,Nellestein,2.3
2007,wijken,TL,Reigersbos,6.1
2007,wijken,TM,Gein,8
2008,wijken,AA,Haarlemmerbuurt,3.3
2008,wijken,AB,Jordaan,2.2
2008,wijken,AC,Grachtengordel-West,1.6
2008,wijken,AD,Burgwallen-Nieuwe Zijde,0.8
2008,wijken,AE,Burgwallen-Oude Zijde,1.9
2008,wijken,AF,Nieuwmarkt/Lastage,2.7
2008,wijken,AG,Grachtengordel-Zuid,2.2
2008,wijken,AH,De Weteringschans,2.3
2008,wijken,AJ,Weesperbuurt/Plantage,2.3
2008,wijken,AK,Oostelijke Eilanden/Kadijken,4.5
2008,wijken,EA,Sloterdijk-West,1.5
2008,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,4.8
2008,wijken,EC,Houthavens,0.8
2008,wijken,ED,De Kolenkit,7.8
2008,wijken,EE,Landlust,4.5
2008,wijken,EF,Erasmuspark,3.2
2008,wijken,EG,Centrale Markt,6.7
2008,wijken,EH,Staatsliedenbuurt,3.2
2008,wijken,EJ,Frederik Hendrikbuurt,2.9
2008,wijken,EK,Van Galenbuurt,3.4
2008,wijken,EL,Geuzenbuurt,2.3
2008,wijken,EM,Hoofdweg e.o.,2.8
2008,wijken,EN,Chassébuurt,5.3
2008,wijken,EP,Bellamybuurt,2.5
2008,wijken,EQ,Da Costabuurt,2.6
2008,wijken,ER,Westindische Buurt,2.8
2008,wijken,ES,Van Lennepbuurt,2.8
2008,wijken,ET,Overtoomse Sluis,2.4
2008,wijken,EU,Helmersbuurt,2.4
2008,wijken,EV,Vondelparkbuurt,3.8
2008,wijken,FA,Sloterdijk Nieuw-West,5.4
2008,wijken,FB,Geuzenveld,6.8
2008,wijken,FC,Slotermeer-West,7.3
2008,wijken,FD,Slotermeer-Noordoost,5.9
2008,wijken,FE,Slotermeer-Zuidoost,4.2
2008,wijken,FF,Lutkemeer/Ookmeer,7.2
2008,wijken,FG,De Aker,7.4
2008,wijken,FH,De Punt,5
2008,wijken,FJ,Osdorp-Midden,6.3
2008,wijken,FK,Osdorp-Oost,5
2008,wijken,FL,Slotervaart-Noord,6.5
2008,wijken,FM,Overtoomse Veld,8.3
2008,wijken,FN,Slotervaart-Zuid,6.4
2008,wijken,FP,Westlandgracht,3.4
2008,wijken,FQ,Sloten/Nieuw-Sloten,8.1
2008,wijken,KA,Hoofddorppleinbuurt,2.3
2008,wijken,KB,Schinkelbuurt,2.3
2008,wijken,KC,Willemspark,3.8
2008,wijken,KD,Museumkwartier,3.2
2008,wijken,KE,Oude Pijp,2.1
2008,wijken,KF,Nieuwe Pijp,2.3
2008,wijken,KG,Zuid Pijp,4.5
2008,wijken,KH,Stadionbuurt,3.4
2008,wijken,KJ,Apollobuurt,4.2
2008,wijken,KK,Scheldebuurt,3
2008,wijken,KL,IJselbuurt,2.8
2008,wijken,KM,Rijnbuurt,2.6
2008,wijken,KN,Prinses Irenebuurt e.o.,4.5
2008,wijken,KP,Zuidas,3.1
2008,wijken,KQ,Buitenveldert-West,3.3
2008,wijken,KR,Buitenveldert-Oost,2.4
2008,wijken,MA,Oostelijk Havengebied,4.5
2008,wijken,MB,Weesperzijde,3.4
2008,wijken,MC,Oosterparkbuurt,4.8
2008,wijken,MD,Transvaalbuurt,6.1
2008,wijken,ME,Dapperbuurt,4.7
2008,wijken,MF,Indische Buurt-West,4.4
2008,wijken,MG,Indische Buurt-Oost,5
2008,wijken,MH,Zeeburgereiland/Bovendiep,2.2
2008,wijken,MJ,IJburg-West,4.1
2008,wijken,MK,IJburg-Oost,
2008,wijken,ML,IJburg-Zuid,7.2
2008,wijken,MM,Frankendael,4.3
2008,wijken,MN,Middenmeer,5
2008,wijken,MP,Betondorp,2.8
2008,wijken,MQ,Omval/Overamstel,1
2008,wijken,NB,Noordelijke IJ-oevers-West,1.5
2008,wijken,NC,Tuindorp Oostzaan,5.2
2008,wijken,ND,Kadoelen,6.7
2008,wijken,NE,Banne Buiksloot,6.6
2008,wijken,NF,Nieuwendammerdijk/Buiksloterdijk,6.4
2008,wijken,NG,Elzenhagen,8.6
2008,wijken,NH,Buikslotermeer,4.9
2008,wijken,NJ,Waterlandpleinbuurt,6.4
2008,wijken,NK,Volewijck,5.3
2008,wijken,NL,IJplein/Vogelbuurt,6
2008,wijken,NM,Tuindorp Buiksloot,5.7
2008,wijken,NN,Tuindorp Nieuwendam,4.6
2008,wijken,NP,Noordelijke IJ-oevers-Oost,3.2
2008,wijken,NQ,Waterland,6.3
2008,wijken,SA,Driemond,6.7
2008,wijken,TA,Amstel III/Bullewijk,4.1
2008,wijken,TB,Venserpolder,5.3
2008,wijken,TC,Amsterdamse Poort e.o.,7.4
2008,wijken,TD,H-buurt,6.7
2008,wijken,TE,Ganzenhoef e.o.,7.3
2008,wijken,TF,Geerdinkhof/Kantershof,3.8
2008,wijken,TG,Bijlmermuseum,7.2
2008,wijken,TH,K-buurt,7.1
2008,wijken,TJ,Holendrecht,8.3
2008,wijken,TK,Nellestein,2.5
2008,wijken,TL,Reigersbos,5.9
2008,wijken,TM,Gein,7.5
2009,wijken,AA,Haarlemmerbuurt,3.2
2009,wijken,AB,Jordaan,2.1
2009,wijken,AC,Grachtengordel-West,1.8
2009,wijken,AD,Burgwallen-Nieuwe Zijde,0.8
2009,wijken,AE,Burgwallen-Oude Zijde,1.6
2009,wijken,AF,Nieuwmarkt/Lastage,2.8
2009,wijken,AG,Grachtengordel-Zuid,2.2
2009,wijken,AH,De Weteringschans,2.3
2009,wijken,AJ,Weesperbuurt/Plantage,2.2
2009,wijken,AK,Oostelijke Eilanden/Kadijken,4.4
2009,wijken,EA,Sloterdijk-West,1.6
2009,wijken,EB,Spaarndammerbuurt/Zeeheldenbuurt,4.3
2009,wijken,EC,Houthavens,0.7
2009,wijken,ED,De Kolenkit,7.2
2009,wijken,EE,Landlust,4.2
2009,wijken,EF,Erasmuspark,3.6
2009,wijken,EG,Centrale Markt,6.7
2009,wijken,EH,Staatsliedenbuurt,3.2
2009,wijken,EJ,Frederik Hendrikbuurt,3
2009,wijken,EK,Van Galenbuurt,3.1
2009,wijken,EL,Geuzenbuurt,2.2
2009,wijken,EM,Hoofdweg e.o.,2.9
2009,wijken,EN,Chassébuurt,5
2009,wijken,EP,Bellamybuurt,2.5
2009,wijken,EQ,Da Costabuurt,2.4
2009,wijken,ER,Westindische Buurt,2.9
2009,wijken,ES,Van Lennepbuurt,2.9
2009,wijken,ET,Overtoomse Sluis,2.2
2009,wijken,EU,Helmersbuurt,2.5
2009,wijken,EV,Vondelparkbuurt,4
2009,wijken,FA,Sloterdijk Nieuw-West,4.1
2009,wijken,FB,Geuzenveld,6.5
2009,wijken,FC,Slotermeer-West,6.7
2009,wijken,FD,Slotermeer-Noordoost,5.6
2009,wijken,FE,Slotermeer-Zuidoost,4
2009,wijken,FF,Lutkemeer/Ookmeer,7.4
2009,wijken,FG,De Aker,7.4
2009,wijken,FH,De Punt,4.7
2009,wijken,FJ,Osdorp-Midden,6.1
